"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity"
"1",1.475,0.475,2.7,0.99875,1
"2",1.925,0.445,-27.9,0.94625,-1
"3",1.265,0.755,-6.3,1.05125,1
"4",1.115,0.595,-38.7,1.19375,-1
"5",1.895,0.585,17.1,1.02875,1
"6",1.445,0.315,35.1,1.04375,-1
"7",0.545,0.495,-20.7,1.18625,-1
"8",1.235,0.365,-40.5,0.98375,-1
"9",1.505,0.615,-17.1,1.14875,-1
"10",0.635,0.455,-2.7,0.88625,-1
"11",1.025,0.425,-15.3,1.02125,-1
"12",1.085,0.675,33.3,0.97625,-1
"13",0.695,0.605,-9.9,0.96875,1
"14",1.355,0.635,40.5,1.21625,-1
"15",0.935,0.765,29.7,1.17875,-1
"16",1.685,0.735,-36.9,1.01375,1
"17",1.565,0.435,-11.7,1.24625,1
"18",1.145,0.625,11.7,0.87875,1
"19",0.965,0.525,-33.3,0.90875,1
"20",0.815,0.775,-22.5,0.99125,-1
"21",0.725,0.305,22.5,0.91625,1
"22",1.385,0.345,-18.9,0.93875,1
"23",1.325,0.415,8.09999999999999,1.17125,-1
"24",0.575,0.405,31.5,1.00625,1
"25",1.835,0.355,-0.899999999999999,1.07375,-1
"26",1.415,0.665,20.7,1.08875,1
"27",1.535,0.385,18.9,0.90125,-1
"28",1.775,0.565,-13.5,0.89375,1
"29",0.605,0.705,15.3,1.16375,1
"30",1.655,0.335,-31.5,1.20875,-1
"31",1.805,0.465,24.3,1.20125,-1
"32",0.785,0.505,9.9,1.05875,1
"33",0.905,0.725,0.899999999999999,0.93125,1
"34",1.955,0.535,-8.1,1.11875,-1
"35",1.625,0.785,13.5,0.96125,1
"36",0.995,0.325,4.50000000000001,1.11125,1
"37",1.175,0.375,27.9,1.22375,1
"38",1.865,0.695,-24.3,1.23125,-1
"39",1.745,0.745,6.3,1.13375,-1
"40",1.595,0.515,-44.1,1.08125,-1
"41",0.665,0.575,36.9,1.12625,-1
"42",0.755,0.395,-35.1,1.14125,-1
"43",1.295,0.545,26.1,0.95375,1
"44",1.205,0.485,44.1,1.09625,-1
"45",1.055,0.795,-29.7,1.15625,1
"46",0.515,0.645,-26.1,1.03625,1
"47",1.985,0.715,38.7,1.06625,1
"48",1.715,0.655,42.3,0.92375,1
"49",0.845,0.685,-42.3,1.10375,1
"50",0.875,0.555,-4.5,1.23875,-1
